cluster_id,affiliation_variant,occurrence_count,sources,canonical_key,display_name,fingerprint_key,token_key,suggested_canonical,match_reason,priority,cluster_variant_count,cluster_total_occurrences,canonical_keys_differ,country_suffix_only,needs_review,confirmed_same,approved_canonical
C0194,"College of Charleston, United States",4,delegates; delegates_raw,College of Charleston,College of Charleston,college of charleston,charleston college,College of Charleston,token_key,low,2,32,False,True,True,,
C0262,Florida State University,28,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,Florida State University,Florida State University,florida state university,florida state university,Florida State University,token_key,low,2,32,False,True,True,,
C0262,"Florida State University, United States",4,delegates; delegates_raw,Florida State University,Florida State University,florida state university,florida state university,Florida State University,token_key,low,2,32,False,True,True,,
C0371,Marine Environment and Resources Foundation,28,delegates; delegates_raw; delegates_sanitized; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,Marine Environment and Resources Foundation,Marine Environment and Resources Foundation,marine environment and resources foundation,environment foundation marine resources,Marine Environment and Resources Foundation,token_key,low,2,32,False,True,True,,
C0371,"Marine Environment and Resources Foundation, Philippines",4,delegates; delegates_raw,Marine Environment and Resources Foundation,Marine Environment and Resources Foundation,marine environment and resources foundation,environment foundation marine resources,Marine Environment and Resources Foundation,token_key,low,2,32,False,True,True,,
C0516,Smithsonian Institution,28,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,Smithsonian Institution,Smithsonian Institution,smithsonian institution,institution smithsonian,Smithsonian Institution,token_key,low,2,32,False,True,True,,
C0516,"Smithsonian Institution, United States",4,delegates; delegates_raw,Smithsonian Institution,Smithsonian Institution,smithsonian institution,institution smithsonian,Smithsonian Institution,token_key,low,2,32,False,True,True,,
C0572,Universidade do Estado do Rio de Janeiro,28,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,Universidade do Estado do Rio de Janeiro,Universidade do Estado do Rio de Janeiro,universidade do estado do rio de janeiro,de do do estado janeiro rio universidade,Universidade do Estado do Rio de Janeiro,token_key,low,2,32,False,True,True,,
C0572,"Universidade do Estado do Rio de Janeiro, Brazil",4,delegates; delegates_raw,Universidade do Estado do Rio de Janeiro,Universidade do Estado do Rio de Janeiro,universidade do estado do rio de janeiro,de do do estado janeiro rio universidade,Universidade do Estado do Rio de Janeiro,token_key,low,2,32,False,True,True,,
C0214,CORDIO East Africa,27,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,CORDIO East Africa,CORDIO East Africa,cordio east africa,africa cordio east,CORDIO East Africa,token_key,low,2,31,False,True,True,,
C0214,"CORDIO East Africa, Kenya",4,delegates; delegates_raw,CORDIO East Africa,CORDIO East Africa,cordio east africa,africa cordio east,CORDIO East Africa,token_key,low,2,31,False,True,True,,
C0251,Federal University of Santa Maria,27,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,Federal University of Santa Maria,Federal University of Santa Maria,federal university of santa maria,federal maria santa university,Federal University of Santa Maria,token_key,low,2,31,False,True,True,,
C0251,"Federal University of Santa Maria, Brazil",4,delegates; delegates_raw,Federal University of Santa Maria,Federal University of Santa Maria,federal university of santa maria,federal maria santa university,Federal University of Santa Maria,token_key,low,2,31,False,True,True,,
C0613,University of Haifa,27,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,University of Haifa,University of Haifa,university of haifa,haifa university,University of Haifa,token_key,low,2,31,False,True,True,,
C0613,"University of Haifa, Israel",4,delegates; delegates_raw,University of Haifa,University of Haifa,university of haifa,haifa university,University of Haifa,token_key,low,2,31,False,True,True,,
C0646,University of Southampton,27,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,University of Southampton,University of Southampton,university of southampton,southampton university,University of Southampton,token_key,low,2,31,False,True,True,,
C0646,"University of Southampton, United Kingdom",4,delegates; delegates_raw,University of Southampton,University of Southampton,university of southampton,southampton university,University of Southampton,token_key,low,2,31,False,True,True,,
C0686,World Wide Fund for Nature - Indonesia,27,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,World Wide Fund for Nature - Indonesia,World Wide Fund for Nature - Indonesia,world wide fund for nature - indonesia,fund indonesia nature wide world,World Wide Fund for Nature - Indonesia,token_key,low,2,31,False,True,True,,
C0686,"World Wide Fund for Nature - Indonesia, Indonesia",4,delegates; delegates_raw,World Wide Fund for Nature - Indonesia,World Wide Fund for Nature - Indonesia,world wide fund for nature - indonesia,fund indonesia nature wide world,World Wide Fund for Nature - Indonesia,token_key,low,2,31,False,True,True,,
C0032,General Organization for Conservation of Coral Reef in the Red Sea,14,delegates; delegates_raw; delegates_sanitized; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,General Organization for Conservation of Coral Reef in the Red Sea,General Organization for Conservation of Coral Reef in the Red Sea,general organization for conservation of coral reef in the red sea,conservation coral general organization red reef sea,General Organization for Conservation of Coral Reef in the Red Sea,"fuzzy:0.99, token_key",high,4,30,False,False,True,,
C0032,General Organization for Conservation of Coral Reefs in the Red Sea,12,delegates; delegates_raw; delegates_sanitized; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,General Organization for Conservation of Coral Reef in the Red Sea,General Organization for Conservation of Coral Reef in the Red Sea,general organization for conservation of coral reefs in the red sea,conservation coral general organization red reefs sea,General Organization for Conservation of Coral Reef in the Red Sea,"fuzzy:0.99, token_key",high,4,30,False,False,True,,
C0032,"General Organization for Conservation of Coral Reef in the Red Sea, Saudi Arabia",2,delegates; delegates_raw,General Organization for Conservation of Coral Reef in the Red Sea,General Organization for Conservation of Coral Reef in the Red Sea,general organization for conservation of coral reef in the red sea,conservation coral general organization red reef sea,General Organization for Conservation of Coral Reef in the Red Sea,"fuzzy:0.99, token_key",high,4,30,False,False,True,,
C0032,"General Organization for Conservation of Coral Reefs in the Red Sea, Saudi Arabia",2,delegates; delegates_raw,General Organization for Conservation of Coral Reef in the Red Sea,General Organization for Conservation of Coral Reef in the Red Sea,general organization for conservation of coral reefs in the red sea,conservation coral general organization red reefs sea,General Organization for Conservation of Coral Reef in the Red Sea,"fuzzy:0.99, token_key",high,4,30,False,False,True,,
C0078,Johnston Applied Marine Sciences,22,delegates; delegates_raw; delegates_sanitized; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,Johnston Applied Marine Sciences,Johnston Applied Marine Sciences,johnston applied marine sciences,applied johnston marine sciences,Johnston Applied Marine Sciences,token_key,low,3,30,False,True,True,,
C0078,"Johnston Applied Marine Sciences, Northern Mariana Islands",6,delegates; delegates_raw,Johnston Applied Marine Sciences,Johnston Applied Marine Sciences,johnston applied marine sciences,applied johnston marine sciences,Johnston Applied Marine Sciences,token_key,low,3,30,False,True,True,,
C0078,"Johnston Applied Marine Sciences, United States",2,delegates; delegates_raw,Johnston Applied Marine Sciences,Johnston Applied Marine Sciences,johnston applied marine sciences,applied johnston marine sciences,Johnston Applied Marine Sciences,token_key,low,3,30,False,True,True,,
C0117,University of Liège,18,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache,University of Liège,University of Liège,university of liege,liege university,University of Liège,token_key,low,3,30,False,True,True,,
C0117,University of Liege,8,map_locations; talks,University of Liège,University of Liège,university of liege,liege university,University of Liège,token_key,low,3,30,False,True,True,,
C0117,"University of Liège, Belgium",4,delegates; delegates_raw,University of Liège,University of Liège,university of liege,liege university,University of Liège,token_key,low,3,30,False,True,True,,
C0258,Florida Fish and Wildlife Conservation Commission,26,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,Florida Fish and Wildlife Conservation Commission,Florida Fish and Wildlife Conservation Commission,florida fish and wildlife conservation commission,commission conservation fish florida wildlife,Florida Fish and Wildlife Conservation Commission,token_key,low,2,30,False,True,True,,
C0258,"Florida Fish and Wildlife Conservation Commission, United States",4,delegates; delegates_raw,Florida Fish and Wildlife Conservation Commission,Florida Fish and Wildlife Conservation Commission,florida fish and wildlife conservation commission,commission conservation fish florida wildlife,Florida Fish and Wildlife Conservation Commission,token_key,low,2,30,False,True,True,,
C0278,Great Barrier Reef Marine Park Authority,24,delegates; delegates_raw; delegates_sanitized; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,Great Barrier Reef Marine Park Authority,Great Barrier Reef Marine Park Authority,great barrier reef marine park authority,authority barrier great marine park reef,Great Barrier Reef Marine Park Authority,token_key,low,2,30,False,True,True,,
C0278,"Great Barrier Reef Marine Park Authority, Australia",6,delegates; delegates_raw,Great Barrier Reef Marine Park Authority,Great Barrier Reef Marine Park Authority,great barrier reef marine park authority,authority barrier great marine park reef,Great Barrier Reef Marine Park Authority,token_key,low,2,30,False,True,True,,
C0297,Horniman Museum and Gardens,28,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,Horniman Museum and Gardens,Horniman Museum and Gardens,horniman museum and gardens,gardens horniman museum,Horniman Museum and Gardens,token_key,low,2,30,False,True,True,,
C0297,"Horniman Museum and Gardens, United Kingdom",2,delegates; delegates_raw,Horniman Museum and Gardens,Horniman Museum and Gardens,horniman museum and gardens,gardens horniman museum,Horniman Museum and Gardens,token_key,low,2,30,False,True,True,,
C0483,Rekam Nusantara Foundation,26,delegates; delegates_raw; delegates_sanitized; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,Rekam Nusantara Foundation,Rekam Nusantara Foundation,rekam nusantara foundation,foundation nusantara rekam,Rekam Nusantara Foundation,token_key,low,2,30,False,True,True,,
C0483,"Rekam Nusantara Foundation, Indonesia",4,delegates; delegates_raw,Rekam Nusantara Foundation,Rekam Nusantara Foundation,rekam nusantara foundation,foundation nusantara rekam,Rekam Nusantara Foundation,token_key,low,2,30,False,True,True,,
C0491,Royal Netherlands Institute for Sea Research,28,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,Royal Netherlands Institute for Sea Research,Royal Netherlands Institute for Sea Research,royal netherlands institute for sea research,institute netherlands research royal sea,Royal Netherlands Institute for Sea Research,token_key,low,2,30,False,True,True,,
C0491,"Royal Netherlands Institute for Sea Research, Netherlands",2,delegates; delegates_raw,Royal Netherlands Institute for Sea Research,Royal Netherlands Institute for Sea Research,royal netherlands institute for sea research,institute netherlands research royal sea,Royal Netherlands Institute for Sea Research,token_key,low,2,30,False,True,True,,
C0594,University of British Columbia,26,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,University of British Columbia,University of British Columbia,university of british columbia,british columbia university,University of British Columbia,token_key,low,2,30,False,True,True,,
C0594,"University of British Columbia, Canada",4,delegates; delegates_raw,University of British Columbia,University of British Columbia,university of british columbia,british columbia university,University of British Columbia,token_key,low,2,30,False,True,True,,
