person_key,name_variant,normalized_name,source
icrs-p-00111,Marichelle Barolo,marichelle barolo,both
icrs-p-00112,Dr Katie Barott,katie barott,both
icrs-p-00112,Katie Barott,katie barott,both
icrs-p-00113,Federica Barreca,federica barreca,both
icrs-p-00114,William Barriera,william barriera,both
icrs-p-00115,Dan Barshis,dan barshis,both
icrs-p-00115,Prof Dan Barshis,dan barshis,both
icrs-p-00116,Isabelle Basden,isabelle basden,both
icrs-p-00117,Moriah Bass,moriah bass,programme
icrs-p-00117,Moriah Sevier,moriah sevier,both
icrs-p-00118,Dr Tahlia Bassett,tahlia bassett,both
icrs-p-00119,José Bastos,jos bastos,both
icrs-p-00120,Kinisimere Batibasaga,kinisimere batibasaga,both
icrs-p-00121,Yabanex Batista,yabanex batista,both
icrs-p-00122,Adele Battini,adele battini,both
icrs-p-00123,Katharina Bauda,katharina bauda,both
icrs-p-00124,Julia Baum,julia baum,both
icrs-p-00125,Iliana Baums,iliana baums,both
icrs-p-00125,Prof Iliana Baums,iliana baums,both
icrs-p-00126,Valentina Bautista,valentina bautista,both
icrs-p-00127,Dr Line Bay,line bay,both
icrs-p-00127,Line Bay,line bay,both
icrs-p-00128,Dr Rachael Bay,rachael bay,both
icrs-p-00128,Rachael Bay,rachael bay,both
icrs-p-00129,Sharad Bayyana,sharad bayyana,both
icrs-p-00130,Nina Bean,nina bean,both
icrs-p-00131,Brian Beck,brian beck,both
icrs-p-00131,Dr Brian Beck,brian beck,both
icrs-p-00132,Dr Cynthia Becker,cynthia becker,both
icrs-p-00133,Ina Becker,ina becker,programme
icrs-p-00133,Nika Becker,nika becker,both
icrs-p-00134,Maya Becker,maya becker,both
icrs-p-00135,Teresa Bednarek,teresa bednarek,both
icrs-p-00136,A/Prof Roger Beeden,a prof roger beeden,both
icrs-p-00136,Roger Beeden,roger beeden,programme
icrs-p-00137,Laura Beenham,laura beenham,both
icrs-p-00138,Chelsey Beese,chelsey beese,both
icrs-p-00138,Dr Chelsey Beese,chelsey beese,both
icrs-p-00139,Prof Maria Beger,maria beger,both
icrs-p-00139,Maria Beger,maria beger,both
icrs-p-00140,Prof James Bell,james bell,both
icrs-p-00141,Sydney Bell,sydney bell,both
icrs-p-00142,Anthony Bellantuono,anthony bellantuono,both
icrs-p-00142,Dr Anthony Bellantuono,anthony bellantuono,both
